lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,2.970861,0.085537,2.965416,3.09805,2.827458,3.100791
hash-table,chaining.lookup,chaining-lookup,3,15,0.630042,0.014502,0.634292,0.642079,0.589209,0.643333
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.4751,0.04552,2.468416,2.542733,2.363333,2.562042
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.702203,0.017483,0.692792,0.739725,0.689292,0.745792
heap-scheduler,heap,binary-heap-schedule,2,10,0.128583,0.004281,0.127625,0.135792,0.124291,0.137667
heap-scheduler,linear_min,linear-min-schedule,2,10,5.574354,0.082126,5.553083,5.702079,5.460209,5.714416
graph-traversal,bfs,bfs-grid,3,20,0.08325,0.002826,0.082,0.088898,0.080125,0.089334
graph-traversal,dfs,dfs-grid,3,20,0.077442,0.002281,0.076604,0.080644,0.0755,0.08575
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.659979,0.059509,0.6445,0.753823,0.589959,0.779
concurrency-race,mutex.benchmark,mutex,1,6,15.427396,0.236698,15.463354,15.703647,15.056667,15.725084
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,14.821868,0.374303,14.788958,15.285688,14.148458,15.328167
raw-http,new_connection,new-tcp-connection-per-request,2,8,4.785974,0.973631,4.433479,6.459921,4.021292,7.229542
raw-http,keep_alive,http-keep-alive,2,8,1.195401,0.013822,1.196792,1.211315,1.167083,1.211417
raw-http,connection_pool,connection-pool-reuse,2,8,1.369599,0.026271,1.367042,1.404773,1.334542,1.405167
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.499375,0.084129,0.457417,0.643989,0.432,0.645083
raw-http,thread_per_client_slow,thread-per-client-slow-requests,2,8,102.637865,3.88049,103.926771,105.653456,93.366875,105.659625
raw-http,serial_blocking_slow,serial-blocking-slow-requests,2,8,326.859771,35.971433,340.033708,367.639158,266.96575,368.952708
db-index,index_build,bplus-tree-build,2,10,1.931637,0.855008,1.62925,3.363112,0.774792,4.036875
db-index,sequential_scan,sequential-scan,2,10,1.309392,0.370466,1.332584,1.744404,0.895375,1.762667
db-index,bplus_tree,bplus-tree-lookup,2,10,0.031246,0.004946,0.028354,0.040823,0.027958,0.042792
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.010052,0.00113,0.009583,0.012031,0.009084,0.012542
data-structures,linked_list.append,linked-list-append,2,8,0.248109,0.027504,0.234125,0.298054,0.2325,0.315291
data-structures,bst.lookup,bst-random-lookup,2,8,0.077198,0.029555,0.062021,0.130475,0.055834,0.141208
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.021276,5.5e-05,0.021271,0.02136,0.021208,0.021375
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.066052,0.000162,0.066083,0.06625,0.065833,0.06625
algorithm-defense,binary_search.linear,linear-search-sorted-array,1,6,143.989292,1.42582,144.049833,145.577199,141.488584,145.586709
algorithm-defense,binary_search.binary,binary-search-sorted-array,1,6,0.036069,0.000296,0.036062,0.036458,0.035542,0.036542
memory-locality,contiguous,contiguous-array-traversal,2,10,0.04935,3.8e-05,0.049355,0.049398,0.049291,0.049417
memory-locality,linked,linked-list-pointer-chase,2,10,0.087446,0.012511,0.086333,0.109456,0.071625,0.11225
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.001546,3.5e-05,0.001542,0.001606,0.0015,0.001625
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.001641,0.000121,0.001563,0.001838,0.001541,0.001875
process-fd,getpid,getpid-call,1,12,0.993431,0.006995,0.990291,1.005258,0.986292,1.007458
process-fd,cached_pid,cached-pid-load,1,12,0.247073,0.000857,0.246625,0.248779,0.246542,0.249375
process-fd,fork_wait,fork-and-wait,1,12,0.387427,0.058042,0.376437,0.503787,0.303292,0.503833
