lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
os-boundary,read_vs_mmap.read_loop,read-loop-sequential-file,1,6,0.173417,0.00615,0.173354,0.181094,0.163625,0.1815
os-boundary,read_vs_mmap.mmap,mmap-sequential-file,1,6,0.334625,0.008806,0.332959,0.348521,0.326041,0.352583
os-boundary,context_switch.no_switch,no-switch-loop,1,6,0.00059,0.000422,0.000292,0.001198,0.000292,0.001208
os-boundary,context_switch.thread_ping_pong,thread-condition-variable-ping-pong,1,6,2.638062,0.100682,2.626583,2.784406,2.505833,2.810208
os-boundary,context_switch.process_ping_pong,process-pipe-ping-pong,1,6,3.949854,0.510714,3.734584,4.657854,3.464292,4.676833
os-boundary,durability.write_close,write-close-without-fsync,1,6,0.106972,0.009219,0.10323,0.120406,0.095416,0.121458
os-boundary,durability.write_fsync,write-fsync-close,1,6,0.131931,0.011575,0.127958,0.15,0.118042,0.153875
virtual-memory,map_only,mmap-without-page-touch,1,6,0.000465,3.8e-05,0.000458,0.000521,0.000416,0.000542
virtual-memory,map_and_touch,mmap-and-touch-every-page,1,6,2.997507,0.023034,2.990437,3.034407,2.974042,3.046209
scheduler-internals,benchmark,scheduler-policy-simulation,1,8,0.001797,0.000767,0.001521,0.00309,0.001083,0.003542
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.349458,0.007525,0.347479,0.360627,0.340584,0.362625
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,32.690984,0.961054,32.372584,34.291729,32.060625,35.203917
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.38075,0.021128,0.372437,0.415868,0.371083,0.436416
allocator,benchmark.no_coalesce,free-list-no-coalescing,2,8,3.361177,0.015085,3.358001,3.386187,3.347917,3.398875
allocator,benchmark.coalesced,free-list-with-coalescing,2,8,2.36999,0.038636,2.35448,2.436146,2.335625,2.45175
toy-filesystem,lookup,path-directory-inode-lookup,1,8,0.399333,0.011952,0.403917,0.413201,0.379833,0.414834
firmware-boundary,benchmarks.protocol_parse,serial-protocol-parse,1,10,0.043112,0.000553,0.043021,0.043842,0.042375,0.043917
firmware-boundary,benchmarks.scheduler_sim,cooperative-scheduler-sim,1,10,0.000446,0.000466,0.000271,0.001214,0.00025,0.001833
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.220546,0.006275,0.221687,0.227422,0.2115,0.228041
durable-job-runtime,benchmarks.parser,capstone-protocol-parse,0,1,0.156958,0,0.156958,0.156958,0.156958,0.156958
durable-job-runtime,benchmarks.recovery,capstone-recovery-campaign,0,1,0.933833,0,0.933833,0.933833,0.933833,0.933833
durable-job-runtime,benchmarks.network,capstone-loopback-tcp,0,1,52.3743,0,52.3743,52.3743,52.3743,52.3743
