lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,2.968003,0.013168,2.963583,2.987179,2.952084,2.999458
hash-table,chaining.lookup,chaining-lookup,3,15,0.625992,0.003017,0.625125,0.632279,0.622916,0.633417
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.541553,0.068619,2.504833,2.667987,2.480125,2.689833
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.692686,0.017483,0.682208,0.730179,0.680583,0.73575
heap-scheduler,heap,binary-heap-schedule,2,10,0.136671,0.002818,0.13525,0.141477,0.134625,0.144083
heap-scheduler,linear_min,linear-min-schedule,2,10,5.995687,0.024511,6.001521,6.027854,5.949958,6.030291
graph-traversal,bfs,bfs-grid,3,20,0.090252,0.002061,0.089625,0.096168,0.088625,0.096208
graph-traversal,dfs,dfs-grid,3,20,0.079761,0.002862,0.078542,0.084873,0.077292,0.089584
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.857174,0.045938,0.849708,0.925864,0.794959,0.942083
concurrency-race,mutex.benchmark,mutex,1,6,15.222542,0.265834,15.333958,15.418791,14.644625,15.439333
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,13.361535,0.448176,13.544062,13.817906,12.536833,13.876542
raw-http,new_connection,new-tcp-connection-per-request,2,8,4.676333,0.9109,4.340167,6.215935,4.1675,7.055833
raw-http,keep_alive,http-keep-alive,2,8,1.201099,0.018026,1.204063,1.221192,1.164334,1.223875
raw-http,connection_pool,connection-pool-reuse,2,8,1.403531,0.021952,1.405229,1.427163,1.361417,1.428709
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.642427,0.037933,0.646083,0.695058,0.577917,0.71425
db-index,index_build,bplus-tree-build,2,10,0.8648,0.02888,0.855417,0.913664,0.833791,0.917583
db-index,sequential_scan,sequential-scan,2,10,0.966208,0.009419,0.96748,0.97906,0.947625,0.984666
db-index,bplus_tree,bplus-tree-lookup,2,10,0.018346,0.002827,0.016667,0.023352,0.016166,0.024833
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.006729,0.001013,0.006313,0.008523,0.006,0.009209
data-structures,linked_list.append,linked-list-append,2,8,0.152713,0.022973,0.141833,0.19336,0.141375,0.211458
data-structures,bst.lookup,bst-random-lookup,2,8,0.060594,0.01777,0.051667,0.092569,0.047583,0.100167
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.015,3.6e-05,0.015,0.015042,0.014958,0.015042
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.046396,0.000146,0.046416,0.046583,0.046167,0.046583
memory-locality,contiguous,contiguous-array-traversal,2,10,0.053883,0.000117,0.053875,0.054077,0.05375,0.054208
memory-locality,linked,linked-list-pointer-chase,2,10,0.096633,0.017463,0.088272,0.12486,0.077542,0.127167
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.001667,2.6e-05,0.001667,0.001709,0.001625,0.001709
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.001692,4.6e-05,0.001688,0.00175,0.001625,0.00175
process-fd,getpid,getpid-call,1,12,1.087483,0.007196,1.089291,1.097175,1.075333,1.098917
process-fd,cached_pid,cached-pid-load,1,12,0.272694,0.00186,0.271917,0.275294,0.268958,0.2755
process-fd,fork_wait,fork-and-wait,1,12,0.385181,0.074804,0.348938,0.544073,0.334459,0.559084
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.362911,0.003233,0.362958,0.367325,0.358083,0.368375
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,33.31536,0.315607,33.319521,33.758576,32.786667,33.860834
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.375922,0.001581,0.375458,0.378537,0.374458,0.379208
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.218696,0.006726,0.223437,0.224815,0.209208,0.224834
