lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,2.767181,0.080125,2.727375,2.946104,2.716708,2.99175
hash-table,chaining.lookup,chaining-lookup,3,15,0.576242,0.003814,0.575167,0.581862,0.571333,0.584458
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.275939,0.007599,2.27475,2.28835,2.268209,2.297916
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.638836,0.014598,0.634208,0.668717,0.624417,0.672625
heap-scheduler,heap,binary-heap-schedule,2,10,0.126783,0.002389,0.125709,0.130627,0.124375,0.132333
heap-scheduler,linear_min,linear-min-schedule,2,10,5.506825,0.023601,5.509104,5.53745,5.466917,5.542625
graph-traversal,bfs,bfs-grid,3,20,0.082619,0.001531,0.082063,0.08654,0.081291,0.087292
graph-traversal,dfs,dfs-grid,3,20,0.073877,0.002069,0.07298,0.078102,0.072334,0.080833
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.593771,0.048487,0.5875,0.662666,0.518375,0.677083
concurrency-race,mutex.benchmark,mutex,1,6,15.642125,0.309111,15.622791,16.033,15.205209,16.040583
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,14.516417,0.462595,14.50123,15.142125,13.87225,15.23475
raw-http,new_connection,new-tcp-connection-per-request,2,8,4.770823,0.742076,4.409791,6.119304,4.298042,6.5755
raw-http,keep_alive,http-keep-alive,2,8,1.008318,0.189811,0.888625,1.293798,0.848125,1.3415
raw-http,connection_pool,connection-pool-reuse,2,8,1.267437,0.178434,1.354563,1.398725,0.943416,1.406542
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.45699,0.027058,0.455625,0.498858,0.41925,0.512625
raw-http,thread_per_client_slow,thread-per-client-slow-requests,2,8,173.359125,7.55181,173.764959,181.893546,161.328125,182.029375
raw-http,serial_blocking_slow,serial-blocking-slow-requests,2,8,615.142463,71.971453,630.11798,698.330216,472.31825,700.582583
db-index,index_build,bplus-tree-build,2,10,1.965196,0.283212,1.969083,2.442663,1.618459,2.462875
db-index,sequential_scan,sequential-scan,2,10,1.607308,0.126021,1.627188,1.802796,1.4335,1.874834
db-index,bplus_tree,bplus-tree-lookup,2,10,0.026016,0.004321,0.023708,0.033646,0.022625,0.035708
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.009937,0.001488,0.009395,0.012512,0.008625,0.013416
data-structures,linked_list.append,linked-list-append,2,8,0.202589,0.029892,0.1875,0.256681,0.186958,0.2765
data-structures,bst.lookup,bst-random-lookup,2,8,0.079089,0.020392,0.068271,0.116027,0.0645,0.1245
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.01863,2.5e-05,0.018625,0.018667,0.018584,0.018667
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.057761,0.000309,0.057792,0.058148,0.05725,0.05825
algorithm-defense,binary_search.linear,linear-search-sorted-array,1,6,135.850451,0.026833,135.852521,135.884698,135.810333,135.887917
algorithm-defense,binary_search.binary,binary-search-sorted-array,1,6,0.035701,0.000393,0.035666,0.036198,0.035291,0.03625
memory-locality,contiguous,contiguous-array-traversal,2,10,0.04935,3.8e-05,0.049355,0.049398,0.049292,0.049417
memory-locality,linked,linked-list-pointer-chase,2,10,0.093321,0.013338,0.097208,0.103675,0.05575,0.1045
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.001533,1.7e-05,0.001542,0.001542,0.0015,0.001542
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.001521,2.1e-05,0.001521,0.001542,0.0015,0.001542
process-fd,getpid,getpid-call,1,12,1.002729,0.020177,0.995875,1.035746,0.986208,1.05825
process-fd,cached_pid,cached-pid-load,1,12,0.246712,0.000341,0.246584,0.247215,0.246583,0.247833
process-fd,fork_wait,fork-and-wait,1,12,0.329226,0.05249,0.312416,0.421298,0.291334,0.488833
os-boundary,read_vs_mmap.read_loop,read-loop-sequential-file,1,6,0.165917,0.004016,0.163771,0.172563,0.163208,0.1745
os-boundary,read_vs_mmap.mmap,mmap-sequential-file,1,6,0.298674,0.002278,0.298188,0.302167,0.29625,0.302875
os-boundary,context_switch.no_switch,no-switch-loop,1,6,0.000868,0.000411,0.001104,0.001229,0.000291,0.00125
os-boundary,context_switch.thread_ping_pong,thread-condition-variable-ping-pong,1,6,2.416792,0.100341,2.404125,2.562177,2.271,2.587875
os-boundary,context_switch.process_ping_pong,process-pipe-ping-pong,1,6,4.253882,0.107594,4.231,4.408625,4.089417,4.43575
os-boundary,durability.write_close,write-close-without-fsync,1,6,0.12191,0.011052,0.121708,0.137458,0.10875,0.140333
