lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
os-boundary,durability.write_fsync,write-fsync-close,1,6,0.135021,0.010242,0.131542,0.150896,0.124666,0.153375
virtual-memory,map_only,mmap-without-page-touch,1,6,0.000438,4.7e-05,0.000417,0.000511,0.000416,0.000542
virtual-memory,map_and_touch,mmap-and-touch-every-page,1,6,2.707528,0.217215,2.581917,3.046042,2.526041,3.085583
scheduler-internals,benchmark,scheduler-policy-simulation,1,8,0.001437,0.000373,0.001375,0.001875,0.001041,0.001875
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.317859,0.002124,0.31702,0.3214,0.315042,0.322041
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,31.911307,0.589311,31.727208,32.890836,31.477417,33.415792
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.359792,0.012096,0.35898,0.374125,0.34625,0.374417
allocator,benchmark.no_coalesce,free-list-no-coalescing,2,8,3.351766,0.003429,3.3515,3.357086,3.346958,3.357334
allocator,benchmark.coalesced,free-list-with-coalescing,2,8,2.327292,0.007554,2.325916,2.339635,2.317625,2.341166
toy-filesystem,lookup,path-directory-inode-lookup,1,8,0.375703,0.013018,0.379687,0.383309,0.3415,0.383834
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.199854,0.006235,0.204687,0.205087,0.19125,0.205125
