lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,3.974878,0.950802,3.670708,5.656295,2.920459,6.189083
hash-table,chaining.lookup,chaining-lookup,3,15,0.614953,0.004661,0.613334,0.62245,0.608667,0.624958
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.480531,0.048063,2.466625,2.575684,2.441,2.588458
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.684408,0.017535,0.674875,0.723542,0.671667,0.724416
heap-scheduler,heap,binary-heap-schedule,2,10,0.59005,0.116957,0.569771,0.763672,0.46425,0.823166
heap-scheduler,linear_min,linear-min-schedule,2,10,7.180958,1.734144,6.61825,10.246348,5.526208,10.935541
graph-traversal,bfs,bfs-grid,3,20,0.115892,0.003184,0.114563,0.123651,0.113166,0.12575
graph-traversal,dfs,dfs-grid,3,20,0.091058,0.004576,0.089021,0.102244,0.088042,0.106083
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.654222,0.060605,0.631166,0.744417,0.586334,0.75375
concurrency-race,mutex.benchmark,mutex,1,6,15.357882,0.204218,15.442334,15.54902,14.977459,15.557333
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,14.080625,0.582717,13.953896,14.815896,13.087375,14.849875
raw-http,new_connection,new-tcp-connection-per-request,2,8,5.120937,0.69719,4.874063,6.141443,4.133291,6.330166
raw-http,keep_alive,http-keep-alive,2,8,1.198432,0.105932,1.164312,1.375414,1.124917,1.471708
raw-http,connection_pool,connection-pool-reuse,2,8,1.354818,0.020983,1.353063,1.387802,1.326125,1.393709
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.512662,0.047993,0.51875,0.569542,0.431459,0.577709
raw-http,thread_per_client_slow,thread-per-client-slow-requests,2,8,100.431281,11.4197,104.346083,110.517768,73.423,112.506541
raw-http,serial_blocking_slow,serial-blocking-slow-requests,2,8,341.144313,59.49359,352.432834,411.724631,252.681875,418.044042
db-index,index_build,bplus-tree-build,2,10,1.983937,0.294408,2.030938,2.355071,1.472292,2.459958
db-index,sequential_scan,sequential-scan,2,10,1.672354,0.149309,1.639,1.877977,1.458542,1.880583
db-index,bplus_tree,bplus-tree-lookup,2,10,0.026821,0.005007,0.024126,0.036602,0.02375,0.039208
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.018297,0.002397,0.017146,0.0225,0.016208,0.023958
data-structures,linked_list.append,linked-list-append,2,8,0.420719,0.063653,0.412083,0.527985,0.34975,0.56125
data-structures,bst.lookup,bst-random-lookup,2,8,0.146469,0.042971,0.135188,0.221402,0.107292,0.2395
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.030073,0.001469,0.029541,0.032428,0.029459,0.033959
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.091927,0.000408,0.091916,0.092562,0.091375,0.092708
algorithm-defense,binary_search.linear,linear-search-sorted-array,1,6,137.330375,1.020374,137.352062,138.643396,135.987333,138.760625
algorithm-defense,binary_search.binary,binary-search-sorted-array,1,6,0.035681,0.000387,0.035708,0.036136,0.035209,0.036167
memory-locality,contiguous,contiguous-array-traversal,2,10,0.071629,0.000792,0.071334,0.072857,0.071333,0.074
memory-locality,linked,linked-list-pointer-chase,2,10,0.127175,0.010595,0.129917,0.141279,0.109583,0.142666
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.002208,3.3e-05,0.002208,0.002255,0.002166,0.002292
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.002146,0.000136,0.002084,0.002379,0.002041,0.002416
process-fd,getpid,getpid-call,1,12,1.581514,0.130115,1.593354,1.772394,1.397208,1.844833
process-fd,cached_pid,cached-pid-load,1,12,0.33708,0.005193,0.33475,0.346061,0.334666,0.353417
process-fd,fork_wait,fork-and-wait,1,12,0.493743,0.084202,0.509125,0.609352,0.388708,0.612125
os-boundary,read_vs_mmap.read_loop,read-loop-sequential-file,1,6,0.171757,0.002517,0.171376,0.175677,0.169291,0.176917
os-boundary,read_vs_mmap.mmap,mmap-sequential-file,1,6,0.299236,0.00074,0.29923,0.300145,0.298125,0.300166
os-boundary,context_switch.no_switch,no-switch-loop,1,6,0.001389,0.000834,0.001396,0.002239,0.0005,0.00225
os-boundary,context_switch.thread_ping_pong,thread-condition-variable-ping-pong,1,6,3.470305,0.3554,3.502708,3.912354,3.020958,3.972958
os-boundary,context_switch.process_ping_pong,process-pipe-ping-pong,1,6,4.150111,0.511115,4.299979,4.752677,3.407125,4.842959
os-boundary,durability.write_close,write-close-without-fsync,1,6,0.10043,0.009594,0.097292,0.112917,0.089667,0.112917
os-boundary,durability.write_fsync,write-fsync-close,1,6,0.169195,0.060768,0.146751,0.265385,0.130709,0.304375
virtual-memory,map_only,mmap-without-page-touch,1,6,0.002556,0.000325,0.002375,0.003094,0.002333,0.00325
virtual-memory,map_and_touch,mmap-and-touch-every-page,1,6,6.735764,1.143539,6.340063,8.480177,5.430167,8.731417
scheduler-internals,benchmark,scheduler-policy-simulation,1,8,0.004292,0.001605,0.003854,0.006944,0.002666,0.007833
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.336901,0.011509,0.342834,0.347539,0.320542,0.347583
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,31.74451,0.307962,31.659,32.283054,31.467375,32.493375
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.380089,0.005051,0.379479,0.387181,0.373709,0.38775
allocator,benchmark.no_coalesce,free-list-no-coalescing,2,8,3.543151,0.166193,3.455896,3.810404,3.399375,3.852958
allocator,benchmark.coalesced,free-list-with-coalescing,2,8,2.340651,0.010751,2.334521,2.357956,2.329666,2.362084
toy-filesystem,lookup,path-directory-inode-lookup,1,8,1.26525,0.28748,1.339916,1.529313,0.718458,1.531209
firmware-boundary,benchmarks.protocol_parse,serial-protocol-parse,1,10,0.209921,0.017571,0.203562,0.2387,0.202208,0.26225
firmware-boundary,benchmarks.scheduler_sim,cooperative-scheduler-sim,1,10,0.002846,0.002794,0.001541,0.008252,0.001291,0.010333
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.940325,0.12689,0.9385,1.124048,0.689584,1.243167
