lab,metric_path,benchmark,warmup,repetitions,mean_ms,stddev_ms,p50_ms,p95_ms,min_ms,max_ms
hash-table,chaining.insert,chaining-insert,3,15,2.923764,0.063229,2.928417,2.990708,2.785833,2.993625
hash-table,chaining.lookup,chaining-lookup,3,15,0.570883,0.004855,0.568875,0.577629,0.566584,0.587458
hash-table,open_addressing.insert,linear-probe-insert,3,15,2.440819,0.00571,2.439958,2.45195,2.434583,2.457959
hash-table,open_addressing.lookup,linear-probe-lookup,3,15,0.674964,0.028406,0.675625,0.71837,0.62725,0.722541
heap-scheduler,heap,binary-heap-schedule,2,10,0.126283,0.002328,0.125041,0.1304,0.124291,0.132125
heap-scheduler,linear_min,linear-min-schedule,2,10,5.496313,0.013729,5.494917,5.514844,5.466333,5.5155
graph-traversal,bfs,bfs-grid,3,20,0.083577,0.002517,0.082354,0.087539,0.080875,0.089083
graph-traversal,dfs,dfs-grid,3,20,0.07849,0.002527,0.077563,0.083458,0.075709,0.086625
concurrency-race,split_load_store.benchmark,split-load-store,1,6,0.693653,0.026396,0.700125,0.724614,0.64625,0.730083
concurrency-race,mutex.benchmark,mutex,1,6,15.317722,0.205723,15.291125,15.625187,15.080375,15.684083
concurrency-race,atomic.benchmark,atomic-fetch-add,1,6,14.116521,0.398012,13.962875,14.720573,13.624083,14.801458
raw-http,new_connection,new-tcp-connection-per-request,2,8,4.482485,0.562913,4.234771,5.45881,4.194834,5.941417
raw-http,keep_alive,http-keep-alive,2,8,1.194365,0.011935,1.189792,1.215717,1.18225,1.221375
raw-http,connection_pool,connection-pool-reuse,2,8,1.370755,0.033531,1.368854,1.423704,1.334709,1.434875
raw-http,concurrent_keep_alive,concurrent-keep-alive,2,8,0.470896,0.011068,0.467812,0.49004,0.457958,0.493292
raw-http,thread_per_client_slow,thread-per-client-slow-requests,2,8,102.183646,3.960158,102.347916,106.687277,95.394708,106.971959
raw-http,serial_blocking_slow,serial-blocking-slow-requests,2,8,339.393651,31.949683,338.296187,388.928506,302.134375,412.052875
db-index,index_build,bplus-tree-build,2,10,1.944571,0.282866,1.928916,2.433029,1.669,2.539041
db-index,sequential_scan,sequential-scan,2,10,1.541583,0.084798,1.537791,1.634792,1.454667,1.641917
db-index,bplus_tree,bplus-tree-lookup,2,10,0.028529,0.004063,0.026521,0.036298,0.025583,0.038042
data-structures,dynamic_array.append,dynamic-array-append,2,8,0.009125,0.001302,0.008417,0.011459,0.008166,0.012042
data-structures,linked_list.append,linked-list-append,2,8,0.202047,0.030477,0.187042,0.256206,0.186833,0.279583
data-structures,bst.lookup,bst-random-lookup,2,8,0.081328,0.023103,0.0695,0.122293,0.063166,0.129541
data-structures,trie.lookup,trie-prefix-lookup,2,8,0.018729,6.2e-05,0.018729,0.018819,0.018625,0.018833
data-structures,union_find.benchmark,union-find-chain-connect,2,8,0.057802,0.000108,0.057771,0.057985,0.057708,0.058
algorithm-defense,binary_search.linear,linear-search-sorted-array,1,6,138.199354,1.405054,138.599604,139.812812,135.851458,140.054958
algorithm-defense,binary_search.binary,binary-search-sorted-array,1,6,0.038076,0.000499,0.03825,0.038656,0.037375,0.03875
memory-locality,contiguous,contiguous-array-traversal,2,10,0.049358,3.8e-05,0.049355,0.049417,0.049292,0.049417
memory-locality,linked,linked-list-pointer-chase,2,10,0.084133,0.013447,0.080604,0.109,0.06875,0.11125
memory-locality,stack_frame,stack-frame-touch-4096-int,2,10,0.001533,1.7e-05,0.001541,0.001542,0.0015,0.001542
memory-locality,heap_block,heap-block-touch-4096-int,2,10,0.001512,2.7e-05,0.0015,0.001565,0.0015,0.001583
process-fd,getpid,getpid-call,1,12,0.988535,0.005822,0.98625,0.9975,0.986208,1.007584
process-fd,cached_pid,cached-pid-load,1,12,0.246813,0.000487,0.246625,0.24785,0.246542,0.248125
process-fd,fork_wait,fork-and-wait,1,12,0.392792,0.065767,0.383563,0.524725,0.318708,0.542417
os-boundary,read_vs_mmap.read_loop,read-loop-sequential-file,1,6,0.168063,0.004686,0.165666,0.175604,0.163917,0.176959
os-boundary,read_vs_mmap.mmap,mmap-sequential-file,1,6,0.300222,0.000707,0.300042,0.301313,0.299333,0.301542
os-boundary,context_switch.no_switch,no-switch-loop,1,6,0.000861,0.000403,0.001125,0.001167,0.000291,0.001167
os-boundary,context_switch.thread_ping_pong,thread-condition-variable-ping-pong,1,6,2.297194,0.104777,2.259688,2.463364,2.206333,2.505125
os-boundary,context_switch.process_ping_pong,process-pipe-ping-pong,1,6,4.108153,0.114634,4.082583,4.288032,3.983834,4.330917
os-boundary,durability.write_close,write-close-without-fsync,1,6,0.109153,0.016378,0.106771,0.134573,0.09075,0.1415
os-boundary,durability.write_fsync,write-fsync-close,1,6,0.136604,0.011308,0.13702,0.148292,0.12325,0.148292
virtual-memory,map_only,mmap-without-page-touch,1,6,0.000438,8.6e-05,0.000417,0.000573,0.000375,0.000625
virtual-memory,map_and_touch,mmap-and-touch-every-page,1,6,2.900577,0.046759,2.898813,2.965146,2.825125,2.979084
scheduler-internals,benchmark,scheduler-policy-simulation,1,8,0.001516,0.000419,0.0015,0.00216,0.001083,0.002292
storage-engine,index_rebuild,page-scan-index-rebuild,2,8,0.339312,0.000599,0.339458,0.339917,0.337916,0.339917
storage-engine,sequential_scan,page-backed-sequential-scan,2,8,31.934776,0.585663,31.635042,32.777813,31.397541,32.865167
storage-engine,indexed_lookup,bplus-index-page-lookup,2,8,0.369885,0.003383,0.368645,0.375161,0.365958,0.375292
allocator,benchmark.no_coalesce,free-list-no-coalescing,2,8,3.350307,0.003528,3.348834,3.356575,3.34675,3.3585
allocator,benchmark.coalesced,free-list-with-coalescing,2,8,2.324823,0.006818,2.321395,2.335879,2.317042,2.338416
toy-filesystem,lookup,path-directory-inode-lookup,1,8,0.394005,0.014522,0.385916,0.413908,0.373583,0.414375
firmware-boundary,benchmarks.protocol_parse,serial-protocol-parse,1,10,0.042917,0.000765,0.042583,0.043975,0.042125,0.044125
firmware-boundary,benchmarks.scheduler_sim,cooperative-scheduler-sim,1,10,0.000375,0.000244,0.000291,0.000802,0.00025,0.001083
embedded-simulator,benchmark,deterministic-hal-state-machine,2,10,0.218825,0.00712,0.218479,0.227509,0.210541,0.227959
durable-job-runtime,benchmarks.parser,capstone-protocol-parse,0,1,0.145,0,0.145,0.145,0.145,0.145
durable-job-runtime,benchmarks.recovery,capstone-recovery-campaign,0,1,0.87575,0,0.87575,0.87575,0.87575,0.87575
durable-job-runtime,benchmarks.network,capstone-loopback-tcp,0,1,51.9652,0,51.9652,51.9652,51.9652,51.9652
